question,possible_answer_0,possible_answer_1,possible_answer_2,possible_answer_3,correct_answer
לפניכם תיאורים של אברהם לפי המקרא ולפי המדרש- בחרו את המושג המתאים: אברהם נאבק על אמונתו באל ולכן נבחר,"אברהם על פי חז""ל",אברהם במקרא,None,None,0
"מה לומדים חכמי המדרש מהמילים ""אברהם הוליד את יצחק""?",שיצחק היה דומה לאביו בכל.,שיצחק נולד בנס.,שאברהם אהב את יצחק יותר שאשר את ישמעאל.,None,0
מה המעשה המרכזי של יצחק לפי הסיפור המקראי?,נלחם בפלישתים וגרשם מארץ ישראל.,חפר מחדש את הבארות שחפר אברהם.,גירש את אחיו ישמעאל מהבית. גירש את אחיו ישמעאל מהבית.,None,1
"איזה משפט נכון ביחס למדרש ""שמות רבה""?","הוא המשך ישיר למדרש ""בראשית רבה"".","הוא מדרש קדום למדרש ""בראשית רבה"".","הוא מדרש מאוחר ל""בראשית רבה"".",None,2
מדוע יצחק נצטווה לא לרדת מהארץ אף בזמן של רעב?,מפני החשש שהארץ תיכבש מחדש על ידי הפלישתים.,"הוא נולד בארץ ונחשב כ""עולה טהורה"".",מפני שהרעב לא היה כל כך נורא.,None,1
"מהו ההבדל העיקרי בין התיאור המקראי לבין התיאור של חז""ל ביחס לחלקו של יצחק בעקדה?","לפי המקרא יצחק הוא ילד צעיר ופסיבי ואילו לפי חז""ל יצחק הוא בחור בוגר ואקטיבי.","לפי המקרא יצחק ממש נשחט וחוזר לחיים אחר כך ואילו לפי חז""ל יצחק לא נפגע כלל.","לפי המקרא יצחק עובר את העקדה בקלות וחוזר לשגרה ואילו לפי חז""ל יצחק לוקה בתסמונת פוסט טראומה ואינו חוזר לשגרה.",None,0
כיצד מצוייר יצחק בציור הקיר בדורא אירופוס ובפסיפס בית אלפא?,בדורא אירופוס הוא מצויר כילד קטן ואילו בבית אלפא הוא מצויר כאדם בוגר.,בשניהם הוא מצויר כאדם בוגר.,בשניהם הוא מצויר כילד קטן.,None,2
איזו סצנה נוספה לסיפור העקדה לפי מדרש תנחומא?,דיאלוג בין השטן לבין יצחק בו הוא מנסה לשכנעו להתנגד לעקדה.,"דיאלוג בין השטן לבין הקב""ה בו הוא מנסה לשכנעו להימנע מנסיון העקדה.",דיאלוג בין השטן למלאך בו הוא מנסה לשכנעו שלא לרדת ולמנוע מאברהם את מעשהו.,None,0
"מהי המשמעות שחז""ל העניקו לאיל שהופיע בסוף העקדה?","קרן האיל – מסמל את השופר, שמזכיר את זכות העקדה.",האיל – מסמל את הקורבן הקרב בכל ראש השנה ומכפר על ישראל.,"רגליו של האיל – מסמלות את רגליו של היהודי, הרץ לבית הכנסת בכל בוקר.",None,0
"מה משמעותו של א' בתשרי במקרא, ומה משמעותו לפי חז""ל?","במקרא – יום תרועה; בחז""ל – ראש השנה ויום הדין.","במקרא – יום של חסד; בחז""ל – יום של דין.","במקרא – יום קרבן חיטים; בחז""ל – יום קרבן שעורים.",None,0
לפניכם תיאורים של יצחק לפי המקרא ולפי המדרש - בחרו את המושג המתאים.: אברהם הוליד את יצחק – יצחק שכפול של אברהם,יצחק במקרא,"יצחק על פי חז""ל",None,None,0
לפניכם תיאורים של יצחק לפי המקרא ולפי המדרש - בחרו את המושג המתאים.: יצחק אדם מבוגר המודע לניסיון ומשתתף בו,"יצחק על פי חז""ל",יצחק במקרא,None,None,0
לפניכם תיאורים של יצחק לפי המקרא ולפי המדרש - בחרו את המושג המתאים.: יצחק מקדם את התהליך שהתחיל אברהם,"יצחק על פי חז""ל",יצחק במקרא,None,None,0
לפניכם תיאורים של יצחק לפי המקרא ולפי המדרש - בחרו את המושג המתאים.: האלהים ניסה את אברהם – יצחק פסיבי לחלוטין,יצחק במקרא,"יצחק על פי חז""ל",None,None,0
לפניכם תיאורים של יצחק לפי המקרא ולפי המדרש - בחרו את המושג המתאים.: ויחפור יצחק את הבארות – יצחק ממשיך מעשי אביו,יצחק במקרא,"יצחק על פי חז""ל",None,None,0
לפניכם תיאורים של יצחק לפי המקרא ולפי המדרש - בחרו את המושג המתאים.: יצחק התחנך כיאות אצל אביו שלימד אותו תורה,"יצחק על פי חז""ל",יצחק במקרא,None,None,0
"מה לומדים חכמי המדרש מהמילים ""ויתרוצצו הבנים בקרבה""?","שיעקב ועשיו נולדו ""בחיפזון"" בחודש השביעי להריון.",שיעקב ועשיו גרמו כאבים רבים לאימם רבקה.,שיעקב ועשיו היו מפרכסים לצאת לבתי כנסיות ולבתי עבודה זרה בהתאמה.,None,2
"כיצד מתואר עשיו בעת לידתו, על פי המקרא?",חזק ונמרץ.,אדמוני ושעיר.,חלק וכהה עור.,None,1
"כיצד מפרשים חכמי המדרש את התואר ""אדמוני""?",נחפז ואימפולסיבי.,בעל צבע של אדמה.,שופך דמים.,None,2
"כיצד מפרשים חכמי המדרש את התואר ""יושב אהלים""?",שומר על מרעה הצאן.,לומד בבית המדרש.,יושב בבטלה.,None,1
"כיצד מפרשים חכמי המדרש את המילים ""בא אחיך במרמה""?",שיעקב הפגין את חכמת תורתו.,שיעקב השיג את ברכות בשקר וכזב.,שיעקב הוציא את דיבת אחיו (כלומר דברים רעים על אחיו) לפני אביו.,None,0
"על פי המדרש, היכן נענשו בני יעקב על מעשה גניבת הברכות?",בשושן הבירה.,בארץ אדום.,בגלות בבל.,None,0
איזה מהקטעים הבאים מביע ביקורת חריפה של החכמים כלפי יעקב:,"אמר ר' לוי: ""אנכי"" לקבל עשרת הדיברות אבל ""עשו בכורך"".","והיכן נפרע לו? בשושן הבירה, שנאמר: ""ויזעק זעקה גדולה ומרה"".","""ויאמר בא אחיך במרמה"" – אמר ר' יוחנן: בחכמת תורתו.",None,1
מהו דבר התורה שאומר רבי יצחק לחברו ר' נחמן לאחר סעודתם?,שיעקב אבינו לא חטא מעולם.,שיעקב אבינו לא מת.,שיעקב אבינו נענש קשות על גניבת הברכות.,None,1
איזה מההיגדים הבאים אינו נכון ביחס לתלמוד הבבלי?,התלמוד מכיל פרשנות למשנה.,התלמוד מכונה גם גמרא.,התלמוד נוצר בארץ ישראל.,None,2
"על פי חז""ל מי היה אותו ""האיש"" שעמו נאבק יעקב?",עבדו של עשיו.,שׂרו של עשיו.,בנו של עשיו.,None,1
"מה המשמעות של השם ""ישראל""?",צניעות וענווה.,שררה ושלטון.,ישרות והוגנות.,None,1
כיצד הכין עצמו יעקב לפגישתו עם עשיו אחיו?,תפילה דורון ומלחמה.,הכין תכנית מילוט.,כתב איגרת להוריו לבוא להתערב.,None,0
"כיצד פירשו החכמים את הכפילות בפסוק ""ויירא יעקב מאד וייצר לו""?",ויירא – שלא יהרגו עשיו; וייצר – שהוא לא יהרוג את עשיו.,ויירא – שלא ייהרגו בניו; וייצר – שלא ייהרגו הוריו.,ויירא – שלא ייפול במלחמה; וייצר – שלא ימות במחלה.,None,0
מה היו המצוות שקיים עשיו בזמן שיעקב היה בחרן?,תרומות ומעשרות.,לימוד תורה ותמיכה בתלמידי חכמים.,כיבוד הורים וישיבת ארץ ישראל.,None,2
כיצד בסופו של דבר כינה עצמו רבי במכתבו לקיסר?,עבדך יהודה.,נציג הקיסר.,נשיא יהודה.,None,0
איזו תפילה תיקן יעקב על פי חכמי המדרש?,תפילת שחרית,תפילת מנחה.,תפילת ערבית.,None,2
"התמונה הבאה, המתארת את לידת יעקב ועשיו, נלקחה מתוך הגדה של פסח המכונה ""הגדת סרייבו"". הגדה זו נכתבה לפני שבע מאות שנה בערך ונחשבת להגדה העתיקה ביותר שנשמרה עד היום. מימין רואים את לידת התאומים, ומשמאל הנערים בהמשך חייהם - אחד מהם מצויר כצייד המכוון את קשתו לכיוון העופות, והשני כאדם הקורא בספר. האם תיאור זה תואם את פסוקי המקרא או את הסיפור של חז""ל?","הסיפור של חז""ל.",הסיפור המקראי.,את שני הסיפורים.,None,0
"לפניך ארבע מתחנות חייו של יעקב, איזו תחנה מביניהן מציינת את הנקודה שבה יעקב הופך לישראל?",המאבק עם המלאך.,גניבת הברכות.,לידת יעקב.,הנישואין עם לאה. ה. המפגש עם משפחתו.,0
התאימו את התיאור המקראי לאדם עליו הוא נאמר - יעקב או עשיו.: אדמוני ושעיר,תיאור מקראי - עשיו,תיאור מקראי - יעקב,None,None,0
התאימו את התיאור המקראי לאדם עליו הוא נאמר - יעקב או עשיו.: יושב באוהל,תיאור מקראי - יעקב,תיאור מקראי - עשיו,None,None,0
התאימו את התיאור המקראי לאדם עליו הוא נאמר - יעקב או עשיו.: צייד,תיאור מקראי - עשיו,תיאור מקראי - יעקב,None,None,0
התאימו את התיאור המקראי לאדם עליו הוא נאמר - יעקב או עשיו.: תם,תיאור מקראי - יעקב,תיאור מקראי - עשיו,None,None,0
התאימו את התיאור המקראי לאדם עליו הוא נאמר - יעקב או עשיו.: ידו אוחזת בעקב עשיו,תיאור מקראי - יעקב,תיאור מקראי - עשיו,None,None,0
התאימו את התיאור המקראי לאדם עליו הוא נאמר - יעקב או עשיו.: בכור,תיאור מקראי - עשיו,תיאור מקראי - יעקב,None,None,0
"התאימו את התיאור על יעקב למקרא או לחז""ל.: מפרכס לצאת לבית הכנסת","יעקב בחז""ל",יעקב במקרא,None,None,0
"התאימו את התיאור על יעקב למקרא או לחז""ל.: ויקרא שם המקום ההוא בית אל",יעקב במקרא,"יעקב בחז""ל",None,None,0
"התאימו את התיאור על יעקב למקרא או לחז""ל.: איש תם יושב אוהלים",יעקב במקרא,"יעקב בחז""ל",None,None,0
"התאימו את התיאור על יעקב למקרא או לחז""ל.: בא בחכמת תורתו","יעקב בחז""ל",יעקב במקרא,None,None,0
"התאימו את התיאור על יעקב למקרא או לחז""ל.: אל תירא עבדי יעקב נאם ה' ואל תחת ישראל",יעקב במקרא,"יעקב בחז""ל",None,None,0
"התאימו את התיאור על יעקב למקרא או לחז""ל.: יושב בבית מדרשו של עבר","יעקב בחז""ל",יעקב במקרא,None,None,0
"התאימו את התיאור על יעקב למקרא או לחז""ל.: ויפגע במקום וילן שם",יעקב במקרא,"יעקב בחז""ל",None,None,0
"התאימו את התיאור על יעקב למקרא או לחז""ל.: יעקב שקראו בית","יעקב בחז""ל",יעקב במקרא,None,None,0
"התאימו את התיאור על יעקב למקרא או לחז""ל.: בא במרמה",יעקב במקרא,"יעקב בחז""ל",None,None,0
"התאימו את התיאור על יעקב למקרא או לחז""ל.: תיקן תפילת ערבית","יעקב בחז""ל",יעקב במקרא,None,None,0
"התאימו את התיאור על יעקב למקרא או לחז""ל.: ידו אוחזת בעקב אחיו",יעקב במקרא,"יעקב בחז""ל",None,None,0
"התאימו את התיאור על יעקב למקרא או לחז""ל.: יעקב אבינו לא מת","יעקב בחז""ל",יעקב במקרא,None,None,0
"1. מה לומדים חכמי המדרש מהמילים ""את יעקב איש וביתו באו""?",שלא כל בני יעקב ירדו למצרים,שיעקב הצליח בחינוך בניו וכולם הולכים בדרכיו,שבני יעקב בנו בתים למשפחותיהם,None,1
"מהי ההבחנה בין השם ""ישראל"" לבין השם ""יעקב""?","השם ""ישראל"" מבטא את הצד הכללי של משפחת יעקב, ואילו השם ""יעקב"" מבטא את הצד האישי והפרטי שלו כאב לבניו.","השם ""ישראל"" מבטא את הצד האקטיבי והאלים של עם ישראל, ואילו השם ""יעקב"" מבטא את הצד הפסיבי והפייסני שלו.","השם ""ישראל"" מבטא את הצד הלמדני של עם ישראל, ואילו השם ""יעקב"" מבטא את הצד המעשי שלו.",None,0
"מיהו הראשון המכנה את בני ישראל ""עם""?",פרעה.,"הקב""ה.",משה רבנו.,None,0
איזה משפט נכון ביחס למדרש תהלים?,"הוא מדרש קדום למדרש ""בראשית רבה"".","הוא מכונה גם מדרש ""שוחר טוב"".",הוא המשך ישיר למדרש משלי.,None,1
איזה מהבאים אינו מובא במדרש כדימוי הממחיש את גאולת מצרים?,כאבן שמאסו אותה הבנאים.,כעובר הנתון במעי הבהמה.,כציפור הנתונה בידי הצייד.,None,0
"מהו ההבדל העיקרי בין התיאור המקראי לבין התיאור של חז""ל ביחס ללידתו של משה?","לפי המקרא משה הוא ילד רגיל ואילו לפי חז""ל משה הוא פלאי.","לפי המקרא משה ניצל על ידי בת פרעה ואילו לפי חז""ל משה כלל לא נזרק ליאור.","לפי המקרא משה נולד בבית פרעה ואילו לפי חז""ל משה נולד בבית ישראל.",None,0
מהי הנבואה שחכמי המדרש מייחסים למרים?,על מותו של פרעה.,על לידת משה.,על תום גזירת השלכת הבנים ליאור.,None,1
"מה לומדים חכמי המדרש מהמילים ""ותהר האשה ותלד בן""?",שלידת משה התקיימה ללא מיילדת.,שמשה נולד בחודש השביעי להריון אימו.,שלידת משה הייתה ללא כאבים.,None,2
התאימו את מודל המנהיגות למדרש או למקרא.: מעשי משה הם שהביאו לבחירתו כמושיע ישראל,מנהיגות במודל מקראי,"מנהיגות במודל חז""לי",None,None,0
התאימו את מודל המנהיגות למדרש או למקרא.: משה נולד כאדם על טבעי,"מנהיגות במודל חז""לי",מנהיגות במודל מקראי,None,None,0
התאימו את מודל המנהיגות למדרש או למקרא.: משה נועד לשמש כמושיע של עם ישראל וכמוריד התורה,"מנהיגות במודל חז""לי",מנהיגות במודל מקראי,None,None,0
התאימו את מודל המנהיגות למדרש או למקרא.: משה נולד כאדם טבעי וחסר ייחוד,מנהיגות במודל מקראי,"מנהיגות במודל חז""לי",None,None,0
"מה לומדים חכמי המדרש מהפסוק ""ומשה היה רועה את צאן יתרו... וינהג את הצאן אחר המדבר""?",שמשה לא אהב חברת בני אדם ולכן הוא הרחיק עם צאנו למדבר.,שמשה נבחן במרעה הצאן ונמצא ראוי להנהגת העם.,שמשה נאלץ לשמש כרועה צאן וזאת כדי לזכות באשתו ציפורה בת יתרו.,None,1
"על פי חכמי המדרש, איזו זכות הקנתה למשה את השליחות שקיבל מהקב""ה?",מפני שראה בסבלותם של אחיו.,מפני שהעז להרוג את המצרי.,מפני שגדל בבית פרעה.,None,0
"מהו הדימוי המופיע במדרש פסיקתא דרב כהנא לציווי ""החודש הזה לכם""?",מלך המוסר לבנו שעון אורלוגין.,מלך המחתן את בנו עם מלכת הזמן.,מלך הפודה את בנו מהשבי.,None,0
מדוע לא מוזכר משה בהגדה של פסח?,כי ההגדה נכתבה לפני משה רבנו.,"כדי להדגיש שהגאולה באה מידיו של הקב""ה בעצמו.",מפני שכותבי ההגדה לא הכירו את הסיפור על משה.,None,1
"מה לומדים חכמי המדרש מהמילים ""וַיַּסַּע מֹשֶׁה""?",שמשה הראה לישראל את הדרך באמצעות המטה שלו.,"שמשה כיוון את ישראל לפי דעתו בלי שלאול את הקב""ה.",שמשה נאלץ להסיע את ישראל בכוח כי הם רצו לחזור למצרים.,None,2
"על פי מדרש תנחומא, מדוע התורה ניתנה לבני ישראל רק בחדש השלישי לצאתם ממצריים ולא מיד?",הם יכלו לקבל את התורה רק לאחר שהתאחדו.,"מפני שבזמן זה הקב""ה ניסה לתת את התורה לעמים אחרים.",התורה עדיין לא הייתה מוכנה.,None,0
מהו הדימוי המופיע במשנה למתן תורה?,יום ההולדת של עם ישראל.,"יום החתונה בין ישראל לקב""ה.",יום פדיון ישראל מהשבי.,None,1
"על פי המשל המובא במדרש פסיקתא דרב כהנא, לְמה דומה התהליך של הליכת ישראל במדבר במשך החודשים שעד מתן תורה?",למלך המגרש את אשתו.,למלך המוליך את בנו על כתפיו.,למלך המחזר אחר כלתו.,None,2
"באיזה אופן דורש מדרש ספרי דברים את הפסוק ""ה' מסיני בא""?","הקב""ה המתין שלשה חודשים עד שהחליט לתת את התורה לעם ישראל.",המלאכים ניסו למנוע את נתינת התורה לעם ישראל.,"הקב""ה עבר בין אומות העולם על מנת להציע להם את התורה.",None,2
איזו תפיסה עומדת מאחורי המדרש על הצעת התורה לאומות העולם?,תפיסה אוניברסלית הרואה בתורה כשייכת לכל העמים.,תפיסה ליברלית השוללת את איסורי התורה.,תפיסה לאומית השוללת את יכולת הגוים לקיים את התורה.,None,2
"מהי משמעותו של חג שבועות במקרא, ומהי משמעותו לפי חז""ל?","במקרא – חג הקציר והביכורים; בחז""ל – חג מתן תורה.","במקרא – חג האסיף; בחז""ל – יום של דין.","במקרא – יום קרבן חיטים; בחז""ל – יום קרבן שעורים.",None,0
"כיצד דורש ר' יהודה בר' סימון את הפסוק ""שקר החן והבל היופי""?",משה רבינו עולה על אדם הראשון ונח בכל שהוא קיבל את התורה.,כל החן והיופי שבעולם מקורם בתורת משה.,תורת משה שוללת את ערכי החן והיופי ומעלה על נס את ערכי הרוח.,None,0
"לפי ההיסטוריונים, מתי מתחילה ההיסטוריה של עם ישראל?",בכיבוש ארץ כנען.,בלידת יעקב.,ביציאת מצרים.,None,0
מדוע התעכבו בני ישראל ארבעים שנה במדבר?,בגלל חטא העגל.,בגלל שתעו בדרך.,בגלל חטא המרגלים.,None,2
איזה מההיגדים הבאים אינו נכון ביחס למדרש במדבר רבה?,הוא מדרש קדום לבראשית רבה.,הוא שייך לספרות התנחומא.,הוא מדרש דרשני על ספר במדבר.,None,0
"על פי חכמי המדרש, מדוע בחר אברהם בארץ כנען?",מפני שזיהה את טיבה האקלימי המשופר.,מפני שהבחין בתרבותם היצרנית של אנשיה.,מפני שראה ענן של קדושה מרחף מעליה.,None,1
"מה מהבאים אינו מוזכר במדרש כהסבר לכינוי ""תבל"" הניתן לארץ ישראל?",הארץ מכילה סוגי אקלים שונים כמו תבשיל מתובל.,הארץ מלאה בהרבה תורה שהיא כמו תבלין.,הארץ היא הגדולה בארצות תבל.,None,2
מה מייחד את ארץ כנען ביחס לארץ מצרים?,היא מלאה באנשי רוח.,היא מלאה במחצבים ומינרלים.,היא תלויה בגשם כי אין בה נהרות.,None,2
"לפי המדרש, היכן ממוקמת ארץ ישראל?",במרכז העולם.,במקום הכי נמוך בעולם.,במקום הכי גבוה בעולם.,None,0
"על פי המקרא, מדוע נגזר על משה שלא להיכנס לארץ?",מפני שבמעמד הסנה הוא סירב בתחילתה לקבל על עצמו את שליחותו.,בשל חטא העגל.,"בשל חטא ""מי מריבה"".",None,2
"איזה מהבאים לא הובא במדרש כפירוש לביטוי המורכב ""איש האלוהים"" ביחס למשה?","כשמשה קרע את ים סוף הוא היה כאלוהים, וכשהוא היכה בסלע היה כאיש.","כשמשה עמד לפני פרעה היה כאלוהים, וכשהוא ברח מלפני פרעה היה כאיש.","כשמשה עלה להר סיני הוא היה כאלוהים, ושהוא ירד הוא היה כאיש.",None,0
מהו הדימוי שנותן המדרש להבחנה בין משה ליהושע?,משה הוא כאריה ויהושע הוא כשועל.,פני משה כפני חמה ופני יהושע כפני לבנה.,משה הוא אדום הנביאים ויהושע הוא משרתו.,None,1
איזה מהפסוקים הבאים מאפיין את המצב בתקופת השופטים?,וַיִּתְרֹצֲצוּ הַבָּנִים בְּקִרְבָּהּ.,לֹא יָסוּר שֵׁבֶט מִיהוּדָה.,אִישׁ הַיָּשָׁר בְּעֵינָיו יַעֲשֶׂה.,None,2
איזה מההיגדים הבאים אינו נכון ביחס למדרש רות רבה?,הוא מדרש אגדה מהמאה השישית לספירה בארץ ישראל.,הוא מדרש קדום לבראשית רבה.,הוא מדרש פרשני על מגילת רות.,None,1
"על פי חכמי המדרש, במה היה שמואל עדיף על משה?",שמואל היה גם נביא וגם נזיר.,שמואל היה טורח ודן את אנשי ישראל בעיירות שלהם.,שמואל היה נביא מילדותו ומשה רק בבגרותו.,None,1
"מה לומדים החכמים מהפסוק ""לא יסור שבט מיהודה""?",שבירת ישראל תמיד תהיה ממוקמת בנחלת שבט יהודה.,ששופטי ישראל ילמדו תורה אצל בני יהודה.,שמלך ישראל תמיד יהיה משבט יהודה.,None,2
מה הייתה ההוכחה שדוד ראוי להיות מלך?,שדוד דאג לכל אחד מעדר צאנו בהתאם ליכולותיו ולגילו.,שדוד נמנע לרעות את צאנו בגזל.,שדוד היה גבוה יותר מכל אחיו.,None,0
מה מהבאים אינו מופיע בכלל קווי הדמיון שבין דוד למשה?,משה הוציא את ישראל ממצרים ודוד הוציאם משעבוד גלויות.,משה מסר את נפשו כשהרג את המצרי ודוד מסר את נפשו כשהרג את העמלקי.,משה נתן חמישה חומשי תורה ודוד נתן חמישה ספרי תהלים.,None,1
"כיצד מפרש המדרש את ההבדל בין עשיו לבין דוד, הרי שניהם נקראים ""אדמוני""?",עשיו היה אדמוני בצבע דם ואילו דוד היה אדמוני בצבע אדמה.,עשיו שופך דמים של בני אדם ואילו דוד הפך לשוחט של בהמות.,עשיו הורג כראות עיניו ואילו דוד הורג רק ברשות הסנהדרין.,None,2
איזה מהבאים לא הובא במדרש כתכונה של דוד?,מאיר פנים בהלכה.,יודע תלמוד.,יודע תכסיסי מלחמה.,None,2
התאימו בין התיאורים למשה או לדוד.: המשובח שבמלכים,דוד,משה,None,None,0
התאימו בין התיאורים למשה או לדוד.: הוציא את ישראל ממצרים,משה,דוד,None,None,0
התאימו בין התיאורים למשה או לדוד.: נתן חמישה ספרים שבתהילים,דוד,משה,None,None,0
התאימו בין התיאורים למשה או לדוד.: איחד את כל שבטי ישראל לממלכה,דוד,משה,None,None,0
התאימו בין התיאורים למשה או לדוד.: הוציא את ישראל משעבוד גליות,דוד,משה,None,None,0
התאימו בין התיאורים למשה או לדוד.: הנהיג את כל ישראל במדבר,משה,דוד,None,None,0
התאימו בין התיאורים למשה או לדוד.: נתן חמישה חומשי תורה,משה,דוד,None,None,0
התאימו בין התיאורים למשה או לדוד.: המשובח שבנביאים,משה,דוד,None,None,0
התאימו בין פירושי דוד למקרא או למדרש.: איש תואר,דוד המקראי,"דוד לפי חז""ל",None,None,0
התאימו בין פירושי דוד למקרא או למדרש.: איש מלחמה,דוד המקראי,"דוד לפי חז""ל",None,None,0
התאימו בין פירושי דוד למקרא או למדרש.: יודע במשנה,"דוד לפי חז""ל",דוד המקראי,None,None,0
התאימו בין פירושי דוד למקרא או למדרש.: יודע במקרא,"דוד לפי חז""ל",דוד המקראי,None,None,0
התאימו בין פירושי דוד למקרא או למדרש.: אדומי,דוד המקראי,"דוד לפי חז""ל",None,None,0
